yearend,locationabbr,sample_size,education,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AZ,1618.0,High school graduate,PA,Q045,Education,High school graduate,EDU,EDUHSGRAD,31.7
2011,AZ,1798.0,Some college or technical school,PA,Q045,Education,Some college or technical school,EDU,EDUCOTEC,34.3
2011,AZ,2008.0,College graduate,PA,Q045,Education,College graduate,EDU,EDUCOGRAD,39.7
2011,AZ,1836.0,Some college or technical school,PA,Q046,Education,Some college or technical school,EDU,EDUCOTEC,35.6
2011,AZ,2046.0,College graduate,PA,Q046,Education,College graduate,EDU,EDUCOGRAD,42.3
2011,AZ,1648.0,High school graduate,PA,Q046,Education,High school graduate,EDU,EDUHSGRAD,28.3
2011,AZ,546.0,Less than high school,PA,Q046,Education,Less than high school,EDU,EDUHS,17.3
2011,AZ,558.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,36.2
2011,AZ,1680.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,26.9
2011,AZ,1881.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,23.3
2011,AZ,2066.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,14.3
2012,AZ,588.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,32.3
2012,AZ,1793.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,26.9
2012,AZ,2201.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,25.3
2012,AZ,2350.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,22.3
2012,AZ,588.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,38.0
2012,AZ,1793.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,35.6
2012,AZ,2201.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,35.4
2012,AZ,2350.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,36.4
